Rank,Word,Count
1,truth,23
2,as,23
3,i,21
4,on,20
5,was,19
6,what,18
7,be,17
8,with,16
9,he,16
10,about,15
11,this,14
12,at,14
13,has,14
14,had,14
15,have,13
16,our,13
17,by,13
18,press,13
19,not,13
20,do,13
21,so,11
22,an,11
23,free,11
24,were,10
25,can,10
26,are,10
27,journalists,10
28,us,9
29,who,9
30,independent,9
31,from,8
32,now,8
33,first,8
34,more,8
35,other,8
36,all,8
37,government,8
38,there,8
39,or,8
40,my,7
41,would,7
42,facts,7
43,democracy,7
44,see,7
45,must,7
46,when,7
47,where,7
48,been,7
49,years,7
50,one,7
51,their,7
