Rank,Word,Count
1,have,11
2,do,11
3,now,11
4,world,11
5,were,11
6,its,10
7,how,10
8,like,10
9,parents,9
10,their,9
11,just,9
12,or,9
13,could,9
14,years,8
15,one,8
16,on,8
17,youre,8
18,when,8
19,our,8
20,from,8
21,theres,8
22,college,7
23,if,7
24,know,7
25,these,7
26,life,7
27,make,7
28,into,7
29,more,7
30,intuition,7
31,hope,7
32,look,7
33,as,7
34,thank,6
35,president,6
36,own,6
37,thats,6
38,dont,6
39,over,6
40,by,6
41,them,6
42,then,6
43,even,6
44,find,6
45,must,6
46,please,5
47,which,5
48,movie,5
49,didnt,5
50,go,5
51,well,5
52,they,5
53,work,5
54,want,5
55,us,5
56,never,5
57,here,5
58,hatred,5
