Rank,Word,Count
1,from,20
2,will,20
3,about,19
4,know,19
5,harvard,18
6,do,18
7,they,18
8,our,18
9,time,17
10,want,17
11,can,16
12,on,16
13,who,16
14,by,16
15,or,15
16,not,14
17,are,14
18,just,13
19,tell,12
20,there,12
21,at,11
22,really,11
23,way,11
24,one,11
25,going,11
26,years,11
27,had,11
28,like,11
29,out,11
30,every,11
31,people,11
32,an,10
33,here,10
34,would,10
35,up,10
36,world,10
37,own,10
38,said,10
39,yourself,10
40,more,10
41,im,9
42,even,9
43,today,9
44,life,9
45,dont,9
46,okay,9
47,he,9
48,than,9
49,little,8
50,then,8
51,some,8
52,come,8
53,did,8
54,were,8
55,barbara,8
56,network,8
57,its,8
58,story,8
59,michael,8
