Rank,Word,Count
1,world,13
2,at,13
3,war,12
4,for,12
5,has,12
6,so,11
7,would,11
8,by,11
9,which,11
10,there,11
11,will,11
12,what,11
13,been,10
14,this,10
15,some,10
16,new,9
17,an,9
18,last,9
19,now,9
20,more,9
21,soviet,9
22,when,9
23,could,8
24,they,8
25,states,8
26,nuclear,8
27,their,7
28,first,7
29,do,7
30,one,7
31,back,6
32,how,6
33,all,6
34,law,6
35,were,6
36,no,6
37,again,6
38,united,6
39,its,6
40,huntington,6
41,civilizations,6
42,must,6
43,such,6
44,century,5
45,end,5
46,us,5
47,from,5
48,second,5
49,most,5
50,own,5
51,cold,5
52,if,5
53,or,5
54,india,5
55,time,5
56,can,5
57,two,5
58,attack,5
59,need,5
