Rank,Word,Count
1,german,158
2,speaking,156
3,the,95
4,to,73
5,and,68
6,of,60
7,i,41
8,that,37
9,is,35
10,we,34
11,my,29
12,applause,29
13,a,27
14,it,27
15,for,25
16,as,21
17,you,19
18,was,19
19,this,18
20,be,17
21,us,16
22,can,16
23,what,16
24,our,15
25,all,14
26,will,14
27,possible,13
28,with,13
29,not,11
30,wall,11
31,are,11
32,at,10
33,people,10
34,have,10
35,than,10
36,do,9
37,today,8
38,life,8
39,which,8
40,or,8
41,on,8
42,something,8
43,if,8
44,walls,8
45,had,7
46,by,7
47,world,7
48,time,7
49,berlin,7
50,way,7
51,how,7
52,thought,7
53,want,7
