Rank,Word,Count
1,will,28
2,have,27
3,be,27
4,we,26
5,this,22
6,my,20
7,it,20
8,for,19
9,but,18
10,world,18
11,as,17
12,from,17
13,was,16
14,on,16
15,are,16
16,me,15
17,not,15
18,at,15
19,your,15
20,our,15
21,with,13
22,an,13
23,who,12
24,years,12
25,energy,11
26,harvard,10
27,am,10
28,has,10
29,by,10
30,time,10
31,climate,10
32,now,9
33,all,9
34,future,9
35,change,9
36,may,8
37,about,8
38,life,8
39,he,8
40,more,7
41,so,7
42,she,7
43,best,7
44,dont,7
45,new,7
46,if,7
47,been,7
48,there,7
49,last,6
50,than,6
51,when,6
52,only,6
53,berkeley,6
54,they,6
55,much,6
