Rank,Word,Count
1,things,14
2,from,14
3,we,14
4,even,13
5,all,13
6,can,13
7,most,12
8,an,12
9,by,12
10,school,12
11,much,11
12,its,11
13,one,11
14,been,11
15,will,11
16,what,11
17,on,11
18,only,11
19,film,11
20,this,10
21,im,10
22,if,10
23,now,9
24,were,9
25,myself,9
26,would,9
27,just,9
28,very,9
29,get,9
30,other,9
31,people,9
32,who,9
33,could,9
34,today,8
35,because,8
36,years,8
37,harvard,8
38,too,8
39,out,8
40,than,8
41,never,8
42,others,8
43,way,8
44,some,7
45,us,7
46,reason,7
47,like,7
48,time,7
49,path,7
50,more,7
51,being,7
52,dont,7
53,them,7
54,first,7
55,make,7
56,work,7
57,good,7
