Rank,Word,Count
1,as,29
2,court,29
3,constitution,29
4,on,24
5,constitutional,24
6,one,22
7,law,22
8,no,21
9,i,20
10,but,20
11,have,19
12,facts,19
13,when,16
14,by,16
15,this,15
16,with,14
17,would,14
18,can,14
19,who,13
20,we,13
21,or,13
22,judges,12
23,do,12
24,they,12
25,cases,12
26,like,12
27,he,11
28,had,11
29,an,11
30,what,11
31,our,11
32,their,11
33,reading,11
34,there,11
35,has,11
36,justice,11
37,from,10
38,about,10
39,at,10
40,government,10
41,are,10
42,language,10
43,meaning,10
44,its,9
45,good,9
46,many,9
47,right,9
48,if,9
49,fair,9
50,first,9
51,case,9
52,publication,9
53,black,9
54,which,9
