Rank,Word,Count
1,with,15
2,never,15
3,me,14
4,or,14
5,life,14
6,who,14
7,all,13
8,failure,13
9,we,12
10,are,12
11,than,12
12,but,11
13,this,11
14,so,11
15,those,11
16,their,11
17,do,10
18,day,10
19,one,10
20,might,10
21,would,9
22,more,9
23,will,9
24,people,9
25,parents,8
26,only,8
27,out,8
28,any,8
29,has,7
30,myself,7
31,own,7
32,graduation,7
33,if,7
34,about,7
35,from,7
36,be,7
37,other,7
38,live,7
39,because,6
40,remember,6
41,without,6
42,come,6
43,time,6
44,think,6
45,which,6
46,much,6
47,how,6
48,way,6
49,power,6
50,our,6
51,lives,6
52,can,6
