Rank,Word,Count
1,harvard,24
2,with,21
3,are,21
4,not,20
5,this,20
6,my,19
7,it,18
8,from,17
9,was,17
10,africa,16
11,has,15
12,more,15
13,liberia,15
14,us,15
15,world,15
16,years,14
17,on,13
18,me,13
19,there,13
20,today,12
21,who,12
22,when,12
23,be,11
24,at,11
25,people,11
26,been,11
27,future,11
28,will,11
29,president,10
30,class,10
31,but,10
32,can,10
33,about,10
34,so,9
35,development,9
36,just,9
37,no,9
38,across,9
39,because,9
40,do,8
41,than,8
42,ago,8
43,country,8
44,war,8
45,one,8
46,african,8
47,continent,8
48,your,8
49,am,7
50,first,7
51,women,7
52,all,7
53,many,7
54,graduates,7
55,graduate,7
56,were,7
57,progress,7
