Rank,Word,Count
1,this,26
2,for,26
3,people,26
4,can,25
5,with,23
6,on,21
7,harvard,19
8,be,19
9,more,18
10,was,18
11,at,18
12,if,17
13,not,17
14,world,16
15,your,15
16,had,15
17,about,15
18,one,15
19,from,15
20,my,14
21,who,14
22,what,14
23,here,13
24,do,13
25,lives,13
26,make,13
27,just,12
28,were,12
29,how,12
30,so,12
31,see,11
32,an,11
33,millions,11
34,are,11
35,will,10
36,me,10
37,our,10
38,would,10
39,us,10
40,even,9
41,they,9
42,its,9
43,technology,9
44,their,9
45,complexity,9
46,problem,9
47,years,8
48,as,8
49,these,8
50,children,8
51,never,8
