Rank,Word,Count
1,world,23
2,we,22
3,all,19
4,for,17
5,was,17
6,with,17
7,will,17
8,so,16
9,from,16
10,but,15
11,at,13
12,has,12
13,years,11
14,not,11
15,as,10
16,than,10
17,your,10
18,my,9
19,or,9
20,harvard,9
21,be,9
22,great,9
23,these,9
24,people,9
25,know,9
26,five,9
27,life,9
28,much,8
29,me,8
30,did,8
31,dont,8
32,about,8
33,out,8
34,one,8
35,them,8
36,country,8
37,there,7
38,which,7
39,an,7
40,now,7
41,countries,7
42,more,7
43,commencement,6
44,new,6
45,perhaps,6
46,when,6
47,had,6
48,on,6
49,many,6
50,what,6
51,been,6
52,by,6
53,he,6
54,graduates,6
55,they,6
56,its,6
57,no,6
58,number,6
59,percent,6
60,human,6
61,even,6
62,three,6
63,age,6
