Rank,Word,Count
1,world,11
2,all,11
3,international,11
4,by,11
5,crisis,11
6,not,10
7,united,10
8,nations,10
9,system,10
10,from,10
11,must,10
12,american,9
13,with,9
14,for,9
15,our,9
16,which,8
17,was,8
18,has,7
19,its,7
20,countries,7
21,other,7
22,they,7
23,us,7
24,when,7
25,or,7
26,those,7
27,their,7
28,an,6
29,rules,6
30,such,6
31,weapons,6
32,can,6
33,years,6
34,security,6
35,global,6
36,too,6
37,allow,6
38,know,5
39,what,5
40,because,5
41,much,5
42,year,5
43,country,5
44,them,5
45,need,5
46,leadership,5
47,new,5
48,these,5
49,about,5
50,mass,5
51,destruction,5
52,force,5
53,time,5
54,than,5
