Rank,Word,Count
1,harvard,21
2,they,20
3,arts,20
4,on,19
5,an,18
6,with,18
7,but,17
8,have,17
9,had,16
10,from,15
11,about,15
12,all,14
13,this,14
14,at,14
15,them,14
16,first,13
17,were,13
18,one,13
19,years,12
20,its,12
21,good,10
22,me,10
23,by,10
24,out,10
25,what,10
26,their,10
27,your,9
28,will,9
29,she,9
30,book,9
31,creative,8
32,now,8
33,new,8
34,medal,8
35,well,7
36,since,7
37,there,7
38,think,7
39,college,7
40,lessons,7
41,then,7
42,am,6
43,has,6
44,been,6
45,who,6
46,see,6
47,fact,6
48,are,6
49,into,6
50,practical,6
51,generous,6
52,when,6
53,or,6
54,education,6
55,began,6
56,world,6
57,seeger,6
