Rank,Word,Count
1,people,28
2,for,27
3,purpose,27
4,so,26
5,was,24
6,one,23
7,have,22
8,about,22
9,is,22
10,are,22
11,do,22
12,world,21
13,if,21
14,all,21
15,on,21
16,my,20
17,us,20
18,this,19
19,everyone,19
20,know,19
21,with,18
22,get,18
23,just,18
24,were,18
25,its,18
26,now,17
27,can,17
28,time,16
29,not,15
30,out,15
31,from,15
32,when,15
33,me,15
34,he,15
35,sense,15
36,they,15
37,be,14
38,what,14
39,how,13
40,who,13
41,their,13
42,or,13
43,today,12
44,because,12
45,at,12
46,generation,12
47,up,12
48,going,12
49,create,12
