Word,Frequency
president,2
faust,1
board,3
of,90
overseers,1
faculty,1
alumni,1
friends,3
proud,2
parents,5
members,1
the,103
ad,2
and,76
graduates,1
greatest,4
university,1
in,40
world,21
i'm,10
honored,1
to,125
be,14
with,18
you,42
today,12
because,12
let's,6
face,3
it,31
accomplished,1
something,9
i,84
never,6
could,9
if,21
get,18
through,2
this,19
speech,1
it'll,1
first,11
time,16
actually,2
finish,1
at,12
harvard,8
class,7
2017,3
congratulations,2
an,8
unlikely,1
speaker,1
not,15
just,18
dropped,1
out,15
but,30
we're,10
technically,1
same,3
generation,12
we,68
walked,2
yard,1
less,2
than,4
a,87
decade,1
apart,2
studied,1
ideas,6
slept,1
ec10,1
lectures,1
may,3
have,22
taken,1
different,1
paths,1
here,8
especially,2
came,3
all,21
way,6
from,15
quad,1
want,6
share,2
what,14
i've,4
learned,1
about,22
our,40
building,5
together,7
last,3
couple,2
days,2
brought,1
back,3
lot,4
good,7
memories,1
how,13
many,10
remember,4
exactly,1
were,7
doing,5
when,15
got,4
that,46
email,2
telling,2
into,6
was,24
playing,1
civilization,1
ran,1
downstairs,1
my,20
dad,1
for,27
some,3
reason,2
his,6
reaction,1
video,2
me,15
opening,1
been,2
really,3
sad,1
swear,1
getting,4
is,21
still,1
thing,7
are,22
most,5
your,11
lecture,1
mine,1
computer,1
science,1
121,1
incredible,1
harry,2
lewis,1
late,1
so,26
threw,3
on,21
t-shirt,1
didn't,11
realize,1
until,2
afterwards,1
inside,1
backwards,1
tag,1
sticking,1
front,2
couldn't,2
figure,1
why,5
no,7
one,23
would,8
talk,3
,30
except,1
guy,2
kx,2
jin,1
he,15
went,2
ended,1
up,12
problem,2
sets,1
now,17
runs,1
big,10
part,5
facebook,7
should,5
nice,1
people,28
best,2
memory,1
meeting,1
priscilla,7
had,10
launched,2
prank,1
website,1
facemash,3
wanted,5
see,3
everyone,19
thought,2
going,12
kicked,3
help,4
pack,1
away,2
party,2
as,10
luck,3
her,4
friend,2
met,6
line,2
bathroom,1
pfoho,1
belltower,1
must,1
romantic,1
lines,1
said:,1
three,3
need,7
go,3
date,1
quickly,1
any,1
graduating,6
can,17
use,1
end,2
did,1
myself,1
started,9
dating,1
know,19
movie,1
made,2
seem,1
like,9
important,4
creating,2
wasn't,6
without,2
wouldn't,2
she's,1
person,4
life,3
say,3
built,4
we've,2
lifelong,1
friendships,1
us,20
even,9
families,2
that's,10
grateful,1
place,3
thanks,1
purpose,26
give,9
standard,1
commencement,1
finding,4
millennials,4
we'll,1
try,3
do,22
instinctively,1
instead,2
tell,2
isn't,3
enough,5
challenge,4
where,5
has,9
sense,15
favorite,1
stories,3
john,1
f,1
kennedy,2
visited,1
nasa,1
space,1
center,1
saw,2
janitor,3
carrying,1
broom,1
over,1
asked,2
responded:,1
mr,1
helping,1
put,3
man,2
moon,2
bigger,2
ourselves,1
needed,2
better,2
ahead,1
work,7
creates,1
true,2
happiness,1
you're,3
graduated,2
reliably,1
job,1
church,2
community,7
technology,3
automation,2
eliminating,1
jobs,7
membership,2
communities,8
declining,1
feel,4
disconnected,1
depressed,1
trying,2
fill,1
void,1
traveled,1
around,3
sat,1
children,2
juvenile,1
detention,1
opioid,1
addicts,1
who,13
told,4
their,13
lives,4
turned,1
differently,1
they,15
after,3
school,5
program,2
or,13
somewhere,2
factory,1
workers,1
old,1
aren't,2
coming,3
find,4
keep,4
society,7
moving,4
forward,4
generational,1
only,7
create,12
new,6
renewed,1
night,1
little,1
dorm,2
kirkland,1
house,1
noch's,1
him,8
excited,1
connect,6
day,6
someone,6
whole,3
occurred,1
might,2
college,5
kids,2
anything,3
there,5
these,6
companies,2
resources,1
assumed,2
them,9
idea,5
clear,3
kept,1
by,11
will,9
own,3
change,6
seems,1
sure,2
else,4
won't,1
it's,16
yourself,1
others,1
found,1
hard,3
hope,3
build,4
company,4
make,10
impact,1
joining,1
cared,1
too,10
explained,1
hoped,1
we'd,1
years,4
buy,1
sell,3
more,8
news,1
feed,1
launch,1
learn,2
nearly,2
higher,2
startup,1
dream,2
come,4
tore,1
tense,1
argument,1
advisor,1
agree,1
regret,1
decision,1
rest,1
relationships,1
frayed,1
within,2
year,4
every,9
single,4
management,1
team,1
gone,1
hardest,1
leading,1
believed,1
felt,1
alone,4
worse,1
fault,1
wondered,1
wrong,5
imposter,1
22,1
year-old,1
kid,1
worked,2
later,1
understand,3
*is*,1
things,8
ways,1
purpose:,1
taking,3
meaningful,4
projects,6
redefining,2
equality,4
freedom,7
pursue,4
across,2
take,4
deal,3
tens,1
millions,5
replaced,1
self-driving,1
cars,1
trucks,1
potential,2
much,5
its,2
defining,1
works,2
300000,1
\'96,1
including,1
volunteers,2
immunized,1
against,4
polio,1
hoover,1
dam,2
other,2
great,7
provide,1
those,4
gave,2
country,5
pride,1
turn,4
probably,1
thinking:,2
don't,10
million,1
involved,2
let,3
secret:,1
does,1
begin,1
fully,2
formed,1
become,1
everything,2
connecting,2
before,7
began,1
movies,2
pop,1
culture,3
eureka,1
moment,1
dangerous,1
lie,1
makes,2
inadequate,1
since,1
haven't,2
ours,1
prevents,1
seeds,1
oh,1
innovation,1
writes,1
math,1
formulas,1
glass,1
idealistic,1
prepared,1
misunderstood,1
anyone,3
working,3
vision,1
called,1
crazy,1
right,4
complex,1
blamed,1
understanding,1
though,1
impossible,1
upfront,1
initiative,2
criticized,1
fast,1
there's,2
always,1
wants,1
slow,2
down,3
often,1
afraid,1
making,1
mistakes,2
ignore,1
nothing,1
reality,1
issues,1
future,3
can't,3
starting,3
waiting,1
generation-defining,1
public,1
stopping,1
climate,2
destroy,1
planet,1
manufacturing,1
installing,1
solar,1
panels,1
curing,1
diseases,1
asking,2
track,1
health,1
data,1
genomes,1
spend,2
50x,1
treating,1
sick,2
cures,1
fix,1
modernizing,1
democracy,1
vote,2
online,1
personalizing,1
education,3
achievements,1
reach,2
gives,1
role,3
