Word,Frequency
when,16
i,20
was,35
younger,2
used,1
to,122
hear,1
harvard,2
stories,3
from,10
a,84
member,1
of,154
the,316
class,1
1885,1
back,4
then,2
old,5
graduates,2
college,2
who,13
could,8
get,3
cambridge,1
on,24
commencement,3
day,4
didn’t,1
wait,1
for,42
reunion,1
years,7
come,3
yard,3
they’d,1
just,6
turn,2
up,5
see,3
friends,1
look,3
over,5
new,4
crop,2
and,95
have,19
cup,1
punch,2
under,1
elms,1
man,2
remembered,2
one,22
those,7
summer,1
days,2
he,11
heading,1
square,1
after,4
lunch,1
crossed,1
paths,1
with,14
newly,1
graduated,1
senior,1
had,11
enjoyed,1
quite,2
few,2
cups,1
that,112
as,28
two,6
men,1
approached,1
each,4
other,7
thrust,1
out,6
his,2
diploma,1
shouted,1
“educated,1
by,16
god”,1
even,5
an,11
honorary,1
doctorate,1
in,62
my,5
hands,1
know,5
enough,6
not,39
shout,1
across,1
but,20
university’s,1
generosity,1
does,4
make,7
me,6
bold,1
say,7
course,5
19,1
supreme,8
court,29
learned,1
some,8
lessons,1
about,10
constitution,29
united,8
states,8
what,11
judges,12
do,12
they,12
apply,1
it,37
deciding,3
cases,12
constitutional,24
issues,1
i’m,4
going,4
draw,1
experience,2
next,1
minutes,1
is,49
judge,6
been,3
given,1
honor,1
speak,2
before,4
you,6
occasion,1
our,11
coming,1
together,3
like,12
this,15
aligns,1
approach,1
separate,3
events,1
judicial,3
side,1
national,3
public,2
life:,1
end,3
court’s,2
term,1
its,8
quickened,1
pace,1
decisions,1
confirmation,1
proceeding,1
latest,1
nominee,1
fill,1
seat,1
we,13
will,4
consequence,2
be,33
hearing,1
discussing,1
particular,3
sort,2
criticism,2
frequently,1
aimed,1
at,10
more,6
controversial,1
decisions:,1
making,3
law,17
announcing,1
rules,2
cannot,5
found,4
engaging,1
activism,3
extend,2
civil,1
liberties,1
good,9
many,9
us,7
sure,1
here,4
intuitively,1
react,1
commentary,1
tends,1
miss,1
mark,1
don’t,3
often,1
pause,1
consider,1
any,5
detail,1
conceptions,1
judging,6
underlie,1
critical,2
rhetoric,2
or,13
compare,1
them,5
notions,1
lie,2
behind,2
own,4
intuitive,1
responses,1
try,2
comparisons,1
afternoon,2
charges,1
lawmaking,3
novelty,1
seem,2
based,3
impression,1
template,1
claims,2
go,2
something,4
claim,8
made,6
government,10
entitled,3
exercise,3
power,4
individual,1
benefit,1
right,9
set,1
terms,7
provision,7
claimant,1
quotes,1
provides,1
evidence,2
facts,19
are,10
said,7
prove,1
entitlement,1
claimed,2
once,2
determined,1
their,11
face,2
either,4
support,1
if,9
gives,2
judgment,3
claimant;,1
goes,1
party,1
contesting,1
view,5
should,4
straightforward,1
reading,11
fairly,4
viewing,1
objectively,3
there,11
would,14
decided,3
way,8
fair,9
model,8
today’s,1
21-year-old,1
place,2
ballot,3
senate,1
seats,1
open,1
year,1
disposed,1
simply,2
showing,3
person’s,2
age,3
quoting,1
senator,1
must,5
least,2
30,1
interpreting,1
requirement,4
forbid,1
access,2
someone,1
qualify,1
serve,1
elected,1
no,16
apt,1
respond,1
object,1
did,8
anything,2
describe,1
pretty,1
much,5
happen,2
usually,1
ones,2
tend,1
raise,1
blood,1
pressure,1
has,11
only,6
tenuous,1
connection,1
reality,1
moment’s,1
thought,1
show,8
why,3
so,8
unrealistic,2
share,3
deliberately,1
open-ended,2
guarantees,3
rights,3
due,1
process,2
equal,5
protection,4
freedom,4
unreasonable,1
searches,1
these,4
provisions,1
applied,2
30-year-old,2
senators;,1
call,2
elaborate,1
reasoning,1
very,4
general,3
language,10
applies,2
specific,1
others,1
time,3
various,1
examples,3
into,3
mention,1
explanation,3
hardly,1
scratches,1
surface,1
reasons,2
mere,1
combination,1
simple,4
beyond,2
recognition,1
constitutions,1
lot,2
order,5
useful,1
long,2
stretches,1
another,8
reason,3
contains,1
