Word,Frequency
president,3
bok,1
former,1
rudenstine,1
incoming,1
faust,1
members,4
of,94
the,184
harvard,18
corporation,1
and,84
board,1
overseers,1
faculty,4
parents,1
especially,2
graduates:,1
i’ve,2
been,6
waiting,1
more,18
than,6
30,2
years,8
to,107
say,1
this:,1
“dad,1
i,48
always,3
told,1
you,45
i’d,1
come,5
back,4
get,5
my,14
degree”,1
want,5
thank,1
for,26
this,24
timely,1
honor,1
i’ll,1
be,19
changing,1
job,1
next,1
year,3
…,10
it,29
will,10
nice,1
finally,2
have,36
a,65
college,2
degree,3
on,21
resume,1
applaud,1
graduates,4
today,3
taking,2
much,6
direct,1
route,1
your,15
degrees,1
part,1
i’m,3
just,12
happy,1
that,53
crimson,1
has,7
called,1
me,10
“harvard’s,1
most,7
successful,1
dropout”,1
guess,1
makes,4
valedictorian,1
own,1
special,1
class,3
did,7
best,4
everyone,4
who,14
failed,1
but,27
also,6
recognized,1
as,8
guy,1
got,2
steve,1
ballmer,1
drop,1
out,5
business,3
school,2
bad,1
influence,1
that’s,3
why,3
was,18
invited,1
speak,1
at,18
graduation,1
if,17
had,14
spoken,1
orientation,1
fewer,1
might,1
here,13
phenomenal,2
experience,3
academic,1
life,5
fascinating,1
used,2
sit,1
in,50
lots,2
classes,2
hadn’t,2
even,9
signed,1
up,6
dorm,3
terrific,1
lived,1
radcliffe,2
currier,2
house,2
there,7
were,10
people,26
room,1
late,1
night,2
discussing,2
things,1
because,7
knew,2
didn’t,3
worry,1
about,15
getting,3
morning,1
how,10
came,5
leader,1
anti-social,1
group,1
we,51
clung,1
each,3
other,1
way,3
validating,1
our,10
rejection,1
all,6
those,4
social,1
commencement,3
speech,1
by,4
bill,2
gates,2
addresses,1
alumni,2
association,1
tecentenary,1
theater,1
university’s,1
2007,1
afternoon,1
exercises,1
great,4
place,1
live,1
women,1
guys,1
science-math,1
types,1
combination,1
offered,2
odds,2
know,6
what,14
mean,1
is,36
where,5
learned,2
sad,1
lesson,1
improving,3
doesn’t,1
guarantee,1
success,1
one,15
biggest,2
memories,1
january,1
1975,1
when,4
made,6
call,2
from,14
company,1
albuquerque,1
begun,1
making,2
world’s,6
first,2
personal,2
computers,2
sell,1
them,7
software,4
worried,1
they,9
would,10
realize,1
student,1
hang,1
instead,1
said:,3
“we’re,1
not,17
quite,1
ready,1
see,11
us,10
month”,1
which,5
good,3
thing,3
written,2
yet,3
moment,1
worked,2
day,2
little,4
extra,1
credit,1
project,1
marked,1
end,5
education,2
beginning,2
remarkable,1
journey,1
with,23
microsoft,1
remember,2
above,1
being,3
midst,1
so,12
energy,2
intelligence,2
could,6
