Word,Frequency
thank,6
you,56
president,6
faust,4
and,101
paul,1
choi,1
so,16
much,3
it’s,9
an,3
honor,1
a,43
thrill,1
to,72
address,1
this,25
group,1
of,54
distinguished,1
alumni,3
supportive,1
friends,2
kvelling,1
parents,8
we’ve,2
all,17
gathered,1
share,2
in,35
the,74
joy,1
day,2
please,5
join,1
me,13
congratulating,1
harvard’s,1
class,2
2016,1
i,67
can,3
remember,4
my,33
own,6
college,7
graduation,1
which,5
is,24
easy,1
since,2
it,17
was,19
only,3
14,1
years,8
ago,1
how,9
many,4
took,1
37,1
graduate,1
because,14
like,10
most,2
began,2
teens,1
but,30
sophomore,1
year,3
offered,1
dream,2
job,4
at,13
universal,1
studios,1
dropped,1
out,3
told,4
if,7
movie,5
career,1
didn’t,5
go,5
well,4
i’d,2
re-enroll,1
went,2
right,4
eventually,1
returned,1
for,18
one,8
big,2
reason,1
people,2
education,2
some,4
their,9
kids,3
i’m,1
father,2
seven,1
kept,1
insisting,1
on,8
importance,2
going,3
hadn’t,1
walked,1
walk,1
fifties,1
re-enrolled,1
cal,1
state,1
,34
long,2
beach,1
earned,1
degree,1
just,9
have,11
add:,1
helped,1
that,44
they,5
gave,2
course,1
credit,1
paleontology,1
work,5
did,2
jurassic,3
park,3
that’s,5
three,1
units,1
left,2
knew,3
exactly,2
what,14
wanted,2
do,9
know,7
too,4
don’t,6
or,9
maybe,4
thought,1
are,13
now,11
questioning,1
choice,2
you’re,8
sitting,2
there,2
trying,1
figure,1
tell,4
your,21
want,5
be,16
doctor,1
not,15
comedy,1
writer,2
choose,1
next,2
we,20
call,2
movies,4
‘character-defining,1
moment’,1
these,7
moments,4
very,2
familiar,1
with,13
last,2
star,1
wars:,1
force,2
awakens,1
when,7
rey,1
realizes,1
her,1
indiana,1
jones,1
choosing,1
mission,3
over,6
fear,2
by,6
jumping,1
pile,1
snakes,1
two-hour,1
get,2
handful,1
character-defining,3
real,2
life,7
face,1
them,4
every,4
strong,1
string,1
