Word,Frequency
20,1
years,15
ago,8
the,150
federal,1
communications,1
committee,1
abolished,1
long-standing,1
fairness,2
doctrine,2
that,40
required,2
broadcast,3
media,3
to,114
give,2
equal,2
time,4
divergent,1
views,2
on,32
public,6
issues,2
in,69
sense,1
budgets,1
and,133
allotted,1
for,32
hard,3
news,7
reporting,1
have,29
contracted,1
severely,1
at,15
same,2
their,3
audiences,2
grown,1
older,1
some,12
voices,1
warned,1
segmentation,1
of,73
may,5
make,5
it,31
too,2
easy,1
americans,4
hear,4
just,6
they,6
want,6
rather,3
than,6
facts,1
need,3
televisions,1
hour,1
with,23
jim,4
lehrer,3
has,9
not,23
needed,1
a,87
two,3
fearless,1
lee,1
impartially,1
report,3
analyze,1
depth,1
its,3
self-effacing,1
star,1
is,22
antithesis,1
infotainment,1
hails,1
from,16
america's,1
heartland,1
born,1
wichita,1
kansas,2
schooled,1
beaumont,1
san,1
antonio,1
texas,3
then,9
university,2
missouri,2
after,5
three,6
us,9
marine,8
corps,13
he,16
worked,2
as,33
newspaperman,1
dallas,1
migrated,1
television,1
joined,1
broadcasting,1
system,1
1972,1
covered,1
senate,1
watergate,1
hearings,1
robert,1
mcneil,1
1973,1
31,1
began,1
macneil-lehrer,1
evolved,1
today's,1
newshour,3
mr,3
lair,2
been,8
honored,3
numerous,1
awards,1
journalism,5
including,2
presidential,2
national,6
humanities,1
medal,1
1999,1
last,3
five,1
elections,1
moderated,1
ten,1
nationally,1
televised,1
debates,2
most,6
recently,1
first,5
debate,4
between,3
george,1
bush,1
john,1
kerry,1
september,1
2004,1
concern,1
mounts,1
about,15
eroding,1
independence,1
standards,1
american,1
face,1
political,1
commercial,1
pressures,1
remains,1
respected,1
professional,2
whose,2
objectivity,1
intelligence,1
earned,1
trust,2
millions,1
viewers,1
i,103
am,10
indeed,1
welcome,1
our,20
commencement,13
day,8
speaker,6
dr,1
blair,1
thank,2
you,31
single,1
freshest,1
graduate,1
harvard,3
remember,11
how,5
one,18
get,1
fact,5
i'm,2
so,12
fresh,1
still,1
my,44
robe,1
makes,2
me,27
recent,1
new,7
member,1
alumni,1
association,1
would,24
like,10
say,9
larry,1
summers,1
behalf,3
everybody,3
this,19
room,3
associated,1
school,2
we,18
accept,2
your,11
challenge,1
will,6
happen,1
sir,2
don't,4
know,9
all,15
probably,2
used,1
but,18
was,26
really,4
impressed,1
rundown,1
financial,3
condition,1
aside,2
nine,1
who,10
received,2
honorary,4
degrees,1
today,8
group,4
pledge,2
begin,2
class,5
2006,1
127,1
billion,1
dollars,1
go,5
way,6
beyond,3
alston,1
austin,1
truly,1
great,6
personally,2
words,1
year,2
three-year-old,1
granddaughter,1
here,6
olivia,1
what,17
